n_id,x,y,name,group,is_path
0,570,326,IST South Entrance,IST,0
1,586,313,,Path,1
2,642,303,,Path,1
3,664,275,,Path,1
4,690,246,,Path,1
5,702,236,,Path,1
6,709,267,,Path,1
7,721,256,Phase 1 North Entrance,Phase 1,0
8,723,283,,Path,1
9,752,252,,Path,1
10,758,242,Phase 1 Main Entrance West,Phase 1,0
11,824,292,,Path,1
12,849,270,,Path,1
13,838,262,,Path,1
14,829,271,Phase 1 South Entrance,Phase 1,0
15,867,284,,Path,1
16,862,289,Phase 2 North East Entrance,Phase 2,0
17,836,301,,Path,1
18,842,297,Phase 2 North West Entrance,Phase 2,0
19,870,331,,Path,1
20,883,346,,Path,1
21,890,341,Phase 2 Main Entrance West,Phase 2,0
22,849,342,,Path,1
23,820,338,,Path,1
24,742,262,,Path,1
25,759,279,Phase 3 North East Entrance,Phase 3,0
26,796,312,,Path,1
27,783,317,Phase 3 North Center Entrance,Phase 3,0
28,787,321,Phase 3 South Center Entrance,Phase 3,0
29,829,340,,Path,1
30,828,346,,Path,1
31,843,362,Phase 3 Main East Entrance,Phase 3,0
32,827,380,Phase 3 Main West Entrance,Phase 3,0
33,870,391,Phase 3 South East Entrance,Phase 3,0
34,858,379,,Path,1
35,887,352,,Path,1
36,886,408,,Path,1
37,900,396,,Path,1
38,888,386,Phase 2 South Entrance,Phase 2,0
39,908,402,,Path,1
40,924,388,,Path,1
41,929,393,Nest Entrance,Wellness,0
42,930,430,Wellness Center Main Entrance,Wellness,0
43,967,467,,Path,1
44,990,488,,Path,1
45,1037,478,,Path,1
46,1076,495,,Path,1
47,1081,510,,Path,1
48,1065,530,,Path,1
49,1076,554,,Path,1
50,1093,551,,Path,1
51,1089,575,SDC Main Entrance,SDC,0
52,1084,561,,Path,1
53,1093,561,,Path,1
54,1093,569,,Path,1
55,1084,569,,Path,1
56,1068,567,,Path,1
57,1049,561,,Path,1
58,985,568,,Path,1
59,1028,564,,Path,1
60,1039,618,,Path,1
61,1053,617,,Path,1
62,1093,663,Soccer Field,SDC,0
63,1098,659,Basketball Court,SDC,0
64,1116,689,Volleyball Court,SDC,0
65,1131,706,,Path,1
66,1148,704,,Path,1
67,1091,596,SDC Pool,SDC,0
68,992,888,,Path,1
69,1050,844,,Path,1
70,1093,799,,Path,1
71,1077,782,Outdoor Fitness,SDC,0
72,1032,543,,Path,1
73,1001,541,,Path,1
74,974,509,,Path,1
75,973,495,,Path,1
76,1136,620,,Path,1
77,1123,564,,Path,1
78,1109,525,,Path,1
79,1082,463,,Path,1
80,1042,395,,Path,1
81,992,328,,Path,1
82,952,361,,Path,1
83,938,346,,Path,1
84,975,310,,Path,1
85,929,266,,Path,1
86,896,306,,Path,1
87,910,319,,Path,1
88,905,326,Phase 2 Main Entrance East,Phase 2,0
89,879,227,,Path,1
90,825,193,,Path,1
91,800,239,,Path,1
92,770,224,,Path,1
93,762,220,,Path,1
94,760,234,Phase 1 Main Entrance East,Phase 1,0
95,786,173,,Path,1
96,749,206,,Path,1
97,744,212,,Path,1
98,725,202,,Path,1
